date,cleanText
2012-08-03,1st pure solar gigawatt hour day just achieved by ! Predict 1st terawatt hour day from all US solar &lt; 15 years.
2012-08-22,I love the sight of Teslas in the morning. Production line review is looking good! Glad to contribute to the Tesla museum and will do more in the future. He was a great man.
2012-08-27,"Back of the envelope calc: Merlin wd accelerate Model S at 25 g's, so wd break sound barrier in &lt;1.5 sec For their test drive, the Motor Trend team drove from LA to San Diego and back without recharging Motor Trend tests Model S as fastest American sedan at 3.9 sec 0-60 mph and tied for 1st worldwide in stopping distance"
2012-09-06,Tesla Model S driven 285 miles from Vegas to the beach in LA on a single charge by
2012-09-14,Tesla Supercharger unveiling event set for Sept 24. It will feel like alien spaceships landed at highway rest stops.
2012-09-17,Tesla made 100 vehicle bodies this week for the first time. Really proud of the team! Pic of S/N 396:
2012-09-19,The first owner to drive coast to coast in a Model S is about to complete the journey !
2012-09-24,Model S review by . Totally agree with criticisms. Corrections coming soon.
2012-09-25,The Tesla Supercharger will over time allow you to travel anywhere on pure sunlight for free
2012-10-01,Review of the Model S by
2012-10-04,An update about Tesla
2012-10-22,Just wrote a blog piece about Tesla stores
2012-10-28,"V proud of Tesla team for completing 1000th Model S body. More cars made this month than entire rest of year Reply to : Yes, Model S seats 5 adults + 2 kids with room for luggage in the front trunk. My kids love the rear facing seats best. Pic of the Model S getting supercharged with the lovely Doing LA to SF road trip in Model S with all 5 kids &amp; Talulah. Supercharger finished charging b4 we finished our burgers!"
2012-11-16,Original article on Model S from : Sounds like Consumer Reports had a good experience with the Tesla Model S
2012-11-20,"Mass. judge denies auto dealers' demand to kill our little Tesla store. Yay, justice prevails!"
2012-12-04,Am happy to report that Tesla was narrowly cash flow positive last week. Continued improvement expected through year end.
2012-12-09,Congrats to for being the first to drive a Tesla Model S over 400 miles on a single charge!
2012-12-11,Tesla was just approved for a full Class 1 Massachusetts Auto Sales License by a vote of 4 to 1. Much appreciated!
2012-12-12,"Tesla articles 30 mins apart: ""This Stock is Screaming Buy"" and ""This Stock Could Get DESTROYED"""
2012-12-19,"Thanks! “: Have driven a Tesla Model S 50 miles now. It's clearly the iPhone of cars—by far the best car ever made."""
2012-12-29,CA's Death Valley is again! Tesla hot weather testing was done there. Model S was fine but gas tow truck overheated.
2013-01-04,"Nice story about a Model S coast to coast road trip. By end of year, it will be Superchargers all the way!"
2013-01-18,"Maybe already under control, but Tesla &amp; SpaceX are happy to help with the 787 lithium ion batteries."
2013-01-30,My thoughts on the nature of the issue with the battery pack supplied to Boeing
2013-02-11,"Btw, more free East Coast Superchargers coming soon. Will allow lower initial charge, v high speed trip &amp; long detours, like NYTimes drive. Yeah, Top Gear pretended the Tesla Roadster ran out of charge and they had to push it home. Logs showed 50 miles range left. Thanks Tom! Support of real Tesla customers like yourself who drive the car every day is v much appreciated. Tesla data logging is only turned on with explicit written permission from customers, but after Top Gear BS, we always keep it on for media. Tesla blog coming soon detailing what actually happened on Broder's NYTimes ""range test"". Also lining up other journalists to do same drive. NYTimes article about Tesla range in cold is fake. Vehicle logs tell true story that he didn't actually charge to max &amp; took a long detour."
2013-02-14,Testing the Model S on a surface of pure ice and snow
2013-02-15,"Genius move “: Well, to be fair, they did use the controversial gimmick of actually charging up the car” CNN about halfway through East Coast Supercharger test drive of Model S w &amp;"
2013-02-19,Thanks ! “: The Model S delivered what promised. A ride to make you re-think going electric.”
2013-03-06,Am in Oslo to thank the Norwegian customers of personally. Highest Model S orders per capita in the world.
2013-03-08,Check out Model S at Tesla Austin Gallery at The Domain opening today! I will stop by this eve and tomorrow morning. Minnesota auto dealers tried to pass legislation to block Tesla stores. Bill was just defeated in Senate. Thanks MN!
2013-03-10,Using Über to order a Tesla Model S with and Using Über to order a Tesla Model S with and
2013-03-17,Craig Venter talks about flu vaccines and the Tesla Model S. Gesundheit!
2013-03-23,". It has always been my dream to produce a low cost, compelling electric car. We are 3 to 4 years away. Wish it could be sooner. Review of Tesla Model S by . Good article w minor errors addressed in reader comments . Model S works great in cold. Highest sales/capita are in Norway and we have a ton of customers in Canada. . It has always been my dream to produce a low cost, compelling electric car. We are 3 to 4 years away. Wish it could be sooner. Review of Tesla Model S by . Good article w minor errors addressed in reader comments"
2013-03-24,It will be slightly smaller w fewer features as std. Think Audi A4 or BMW 3 vs Model S being S7 or M5
2013-03-26,"Future will indeed be rooftop solar + battery pack, w utility company just providing backup power"
2013-03-29,A123 battery company renames itself B456 after bankruptcy (really).
2013-03-30,"If you support Tesla in Texas, please contact your state Senate or House member. Free enterprise! If you support Tesla in Texas, please contact your state Senate or House member. Free enterprise! Auto dealers in Texas are trying to stop Tesla. Would appreciate your help in fighting for what's right"
2013-03-31,Thanks Bob “: Tesla Takes on TX Dealer's Association (MA too) - Repeal anti-competitive dealer laws -
2013-04-01,"To be clear, Tesla is in California, so it is not April Fool's yet! Also, some may differ, but imo the Tues news is arguably more important. First profitable Q for Tesla thanks to awesome customers &amp; hard work by a super dedicated team"
2013-04-02,"Today's Tesla announcement is actually the 2nd in a 5 part trilogy (love Douglas Adams) Hoping to open the Century City Tesla store this month. It is my neighborhood mall, so I'm there all the time. Am headed to TX next week to thank people personally for supporting Tesla. Please head to SB 1659 @ 8am tomorrow Certainly true that many people believe that Tesla and SpaceX are powered by the Infinite Improbability Drive :) Today's Tesla announcement is actually the 2nd in a 5 part trilogy (love Douglas Adams)"
2013-04-08,"New Tesla red going down assembly line for the first time. We spent a lot of time on this color! Sarah Palin calls Tesla a loser. Am deeply wounded. Btw, Model S warranty does cover ""bricking""."
2013-04-09,Just had Texas BBQ for lunch in Capitol Building. About to head to House Committee hearing to advocate for Tesla in TX. In TX to make the case for allowing Tesla to sell cars. Pls come to Capitol Room E2.014 at 1:30!
2013-04-11,"Stay tuned for a big Supercharger announcement in a few weeks. Definitely have you covered. New York judge just ruled in favor Tesla, dismissing the legal attack by auto dealers to prevent direct sales! Yay for democracy! asks: Should Tesla Motors be able to sell directly to consumers?"
2013-04-17,"If you live in Texas and are pro Tesla, please vote in the opinion poll!"
2013-04-23,"Not all good news. Virginia DMV Commissioner just denied Tesla a dealer license, despite Hearing Officer being in favor."
2013-04-25,"Thanks, important clarification. Tesla announcements are always about making product experience better. Market follows eventually. Announcement of new strategy tomorrow. Tesla owners will like this."
2013-04-30,Auto Dealer Sterling McCall makes the case for Tesla direct sales in Texas Auto Dealer Sterling McCall makes the case for Tesla direct sales in Texas
2013-05-02,High pressure helium. Needs to be ultra light. All 4 legs together (~60 ft span) weigh less than Model S. Time to up the ante (and fix some mistakes). Tesla announcement tomorrow.
2013-05-03,Tesla raises Model S resale value guarantee to highest in auto industry Am getting lots of questions about the big Supercharger announcement. Aiming to do that the week after next. Tesla raises Model S resale value guarantee to highest in auto industry
2013-05-04,"Earnings call next week, then Supercharger week after and then... the mystery announcement/demonstration :)"
2013-05-05,Most people have never heard of Nikola Tesla. That will hopefully change over time.
2013-05-06,"Anyone interested in doing ultra hardcore vehicle engineering at Tesla, please apply! Chris Porritt from Aston Martin just joined as head of vehicle engineering at Tesla Anyone interested in doing ultra hardcore vehicle engineering at Tesla, please apply! Chris Porritt from Aston Martin just joined as head of vehicle engineering at Tesla"
2013-05-07,"Tesla priority is electrification of cars, so priority is Model S, Model X, then mass market third gen vehicle &amp; truck Am a fan of Larry, Sergey &amp; Google in general, but self-driving cars comments to Bloomberg were just off-the-cuff. No big announcement here Tesla priority is electrification of cars, so priority is Model S, Model X, then mass market third gen vehicle &amp; truck Creating an autopilot for cars at Tesla is an important, but not yet top priority. Still a few years from production."
2013-05-08,"Just want to say thanks to customers &amp; investors that took a chance on Tesla through the long, dark night. We wouldn't be here without you."
2013-05-09,There is a way for the Tesla Model S to be recharged throughout the country faster than you could fill a gas tank. There is a way for the Tesla Model S to be recharged throughout the country faster than you could fill a gas tank. Totally agree. Tesla will circle back and do something cool for Roadsters next year.
2013-05-12,"Tesla software knits together Google Voice, Slacker, Gracenote &amp; others and streams over 3G (will be LTE later) Hold down voice button &amp; say ""Play Amish Paradise by Weird Al Yankovic"". Model S can play almost any song via Internet."
2013-05-13,"Yes, usually several times more energy over the course of the year than is needed by the Model S"
2013-05-14,Supercharger announcement pushed to next week. Something else this week.
2013-05-15,Soon Model S will feature druidic dwarves dancing around a miniature stone henge
2013-05-22,Tesla wired the funds to repay the DOE loan today. Only US car company to have fully repaid govt
2013-05-23,Interview with about Tesla and DOE loan gets into some of the details
2013-05-24,"We created electric cars to help solve the problem, not because we thought it was easy money. Still isn't."
2013-05-25,"Am not suggesting shutting down CO2 production, but rather to price in environmental cost &amp; shift to sustainable energy Technically, I ""got rich"" from Zip2 &amp; PayPal w zero govt anything, then put 100% of that into SpaceX, Tesla &amp; SolarCity. Net of gas savings, a Tesla is $550 to $600/month with down payment taken care of by tax credits. Maybe less costly then it first seems. Me &amp; other private money funded Tesla for first 7 years, got IPO+ govt money for 3, now paid back. Yes, carbon tax would be a better way. Great article on Tesla-dealer battle by Leilani Munter (), who lives in NC"
2013-05-26,You Can Fit A Lot Of Kindergartners In A Tesla Model S - Houston Chronicle
2013-05-30,Huge expansion of Tesla Supercharger network underway. Will cover LA to NY by end of year Huge expansion of Tesla Supercharger network underway. Will cover LA to NY by end of year
2013-06-05,"Forgot to say one thing at Tesla annual shareholders meeting: just as my money was the first in, it will be the last out."
2013-06-12,Battery storage of solar power needed for night operation &amp; to buffer grid during day. Beta projects are going well.
2013-06-18,"Battery pack swap works with all Tesla Model S cars, past and present. It was always there. Shai actually got the idea from a visit to Tesla. The idea is obvious (many things allow battery swap), but the technology is not. Battery pack swap works with all Tesla Model S cars, past and present. It was always there. Shai actually got the idea from a visit to Tesla. The idea is obvious (many things allow battery swap), but the technology is not. Video of battery pack swap will be posted to the Tesla website around 9:30pm, so those attending will see this first."
2013-06-19,Partial recall of Model S
2013-06-20,Tomorrow night: fastest gas pump in LA vs Tesla battery pack swap
2013-06-21,"The NY auto dealers lost in court, so now they are funding a bill in NY legislature to block Tesla Tesla pack swap vid still being edited (multiple camera angles). In meantime, this article contains a vid"
2013-06-25,Tesla service can do coating or can be done by any auto glass coating company. My car is done on side &amp; rear
2013-07-02,"Woohoo, Tesla direct sales petition passed the 100k threshold! Thanks a lot to everyone that helped!! Woohoo, Tesla direct sales petition passed the 100k threshold! Thanks a lot to everyone that helped!!"
2013-07-23,"Oh yeah, well Tesla will study a plan to study the GM team that's studying Tesla, so there!"
2013-07-28,"One of the first Tesla Supercharger stations in Europe is being built in Cinderella, Norway"
2013-08-20,Model S achieves best safety rating of any car ever tested by US govt
2013-09-06,Video review of Model S vs. Aston Martin Rapide S by
2013-09-18,"Engineers interested in working on autonomous driving, pls email autopilot.com. Team will report directly to me. Intense effort underway at Tesla to develop a practical autopilot system for Model S"
2013-09-19,Am happy to hear that GM plans to develop an affordable 200 mile range electric car. Right target. Hope others do same.
2013-10-04,About the Model S fire ...
2013-10-30,Tesla West Coast Supercharger network now energized. Travel from Vancouver to Tijuana in styel!
2013-11-10,Model S owner blogs about TN accident
2013-11-19,"Tesla is also extending the Model S warranty to cover any fire damage even if due solely to a driver accident Tesla is also extending the Model S warranty to cover any fire damage even if due solely to a driver accident What makes this incredibly unjust is that the Model S to date has the best safety record of any car on the road (no injuries or deaths ever) Why does a Tesla fire w no injury get more media headlines than 100,000 gas car fires that kill 100s of people per year? Mission of Tesla"
2013-11-21,Tesla Model S Consumer Reports customer satisfaction survey highest of any car on road at 99/100
2013-11-28,"...but only if you like your house ""Honda recalls Fit for fire risk, says park it outside "" Model S can seat 5 adults, two kids and has a front trunk for luggage. Might work for you. Model S Owner drives 3121 miles solo from Canada to Mexico"
2013-12-02,"German govt reviews Tesla Model S fires. All due to high speed impacts, no injuries. Concludes: no defects, no recall"
2013-12-03,"The writer of this article had a problem with his 12V battery, so main pack was constantly charging it."
2013-12-05,Should mention that the battery cells used for this are 200 Wh/kg vs 250 for Model S. No short term supply constraint. Solar power w batteries will be the primary (not exclusive) means of sustainable energy production
2013-12-22,"Yes, definitely needs a huge amount of battery capacity. ~1/3 of energy produced during day must be stored"
2014-01-23,Tesla policy is to charge the same price (+ taxes &amp; shipping) everywhere in the world Tesla policy is to charge the same price (+ taxes &amp; shipping) everywhere in the world
2014-01-26,"Two teams from Tesla aiming to set a cross-country EV speed record this week. Departing Fri from LA, arriving Sun in NY. Tesla Supercharger network now energized from New York to LA, both coast + Texas! Approx 80% of US population covered."
2014-01-30,Tesla cars are now in all 50 US states (map credit Edmunds)!
2014-02-02,Tesla LA to NY Supercharger rally just completed in 76 hours across northern route in dead of winter thru heavy snow!
2014-02-07,"Value is holding up ""Tesla car is worth more used than new | MNN -"
2014-02-09,"Tesla V6 software upload coming soon. Need to make sure it is ""awesome"" - Lord Business"
2014-02-25,Model S receives highest customer satisfaction score of any car ever surveyed by Consumer Reports
2014-03-11,New Jersey auto dealers subverting democratic process to try to block Tesla sales
2014-03-14,"Yes, I'm confident that Tesla will do something with them. Working on a Model S environmental impact blog this weekend to counteract BS like the graphite story. Beyond ridiculous... Yes, I'm confident that Tesla will do something with them. Just discovered a great Tesla ad made by 2 recent college grads. I love it!"
2014-04-01,Announcing a revolutionary Tesla driving technology
2014-04-05,Review of Model S by much appreciated
2014-04-07,"Bloomberg article today also has oddly false details. I don't eat breakfast at Tesla and drink coffee, not juice. Bloomberg article today also has oddly false details. I don't eat breakfast at Tesla and drink coffee, not juice."
2014-04-08,"Also, breakfast at Tesla is self-serve cereal (no distinction for execs) and the person mentioned isn't actually an employee Tesla US business leasing program went live today Also, breakfast at Tesla is self-serve cereal (no distinction for execs) and the person mentioned isn't actually an employee Leasing a Model S takes 5 mins online, no signatures &amp; one tap on car center screen to accept when delivered Tesla US business leasing program went live today"
2014-04-24,100th Supercharger goes live
2014-04-29,Superchargers in Canada will go live in 6 to 8 weeks. Update on forums shortly.
2014-05-25,Prince Albert &amp; Princess Charlene drove a Tesla around the track to open Monaco! The honor is much appreciated :)
2014-05-29,Model S in drag queen competition
2014-06-12,Regarding Tesla patents Regarding Tesla patents
2014-06-17,"SolarCity to build the world's largest advanced solar panel factory in upstate New York Edmunds beats Tesla LA-NY record by several hours! “: Made it! Our Model S made LA-NY run in 67 hrs and 21 mins"""
2014-07-01,Tesla Model S named top model in perceived quality via
2014-07-10,Tesla Superchargers delivered over 1GWh last month. Long distance driving growing exponentially A lot of Canadian Superchargers are in work and will start going live in the next month or so Tesla Superchargers delivered over 1GWh last month. Long distance driving growing exponentially
2014-08-15,"Yes. Technically Model 3 or maybe three horizontal bars. Won't be three vertical bars. Yes. Technically Model 3 or maybe three horizontal bars. Won't be three vertical bars. Model S drivetrain warranty increased to infinite miles, applies retroactively ..."
2014-08-23,Ad taken out in Palo Alto Daily by two Model S owners is right. Many of the suggestions will be implemented soon.
2014-08-25,Model S limits torque if brake &amp; accel simul pressed. Going to zero torque with brake press would be a safety hazard. That has been my goal from the beginning. Need the Gigafactory for Model 3. Model S limits torque if brake &amp; accel simul pressed. Going to zero torque with brake press would be a safety hazard. That has been my goal from the beginning. Need the Gigafactory for Model 3.
2014-09-08,Handing over the first Tesla Model S cars in Japan
2014-09-11,"Official Gigafactory address to be: Electric Avenue, McCarran, Nevada"
2014-09-20,Calendar app w tap to nav &amp; traffic predictor in Tesla V6.0 release will radically improve how the car adapts to the owner over time
2014-10-09,Just got word that the cumulative miles of the worldwide Tesla fleet passed half a billion!
2014-10-11,Dual Motor Model S with Autopilot Dual Motor Model S with Autopilot
2014-10-28,"Also, lease price improvement is due to US Bank deal. It is *not* a discount. Revenue to Tesla is unchanged. Article in re Tesla sales is incorrect. September was a record high WW and up 65% year-over-year in North America."
2014-11-04,Review of performance version of dual motor Model S by
2014-11-18,Tesla comic book Tesla comic book
2014-11-19,"Rumors about canceling Falcon wing doors are false. At Tesla, the production car will always be better than the show car."
2014-11-21,About the Nevada deal with Tesla ...
2014-12-19,Tesla fast battery swap details Pack swap now operating in limited beta mode for SF to LA route. Can swap battery faster than visiting a gas station. Tesla blog out soon.
2014-12-25,Roadster upgrade will enable non-stop travel from LA to SF -- almost 400 mile range. Details tmrw. Merry Christmas!
2014-12-26,"Roadster upgrade details Roadster upgrade details Reading The Culture series by Banks. Compelling picture of a grand, semi-utopian galactic future. Hopefully not too optimistic about AI."
2014-12-30,Model S range curves in detail by version Model S range curves in detail by version
2015-01-11,World's top artificial intelligence developers sign open letter calling for AI safety research:
2015-01-15,Funding research on artificial intelligence safety. It's all fun &amp; games until someone loses an I
2015-01-29,Tesla dual motor cars are also all-wheel drive. Main goal of dual motor was actually insane traction on snow. Insane speed was a side effect Tesla P85D 0 to 60mph acceleration will improve by ~0.1 sec soon via over-the-air software update to inverter algorithm
2015-02-24,Tesla Model S rated by as best car in world for 2nd year in a row
2015-03-07,Some shots of the Gigafactory pilot plant (~20% of full size) under construction
2015-03-08,"There is no slowdown of the Gigafactory construction underway, as anyone near Reno with eyes can verify. It's not subtle. There is no slowdown of the Gigafactory construction underway, as anyone near Reno with eyes can verify. It's not subtle."
2015-03-11,Model S in drag race against snowmobile on ice lake in Norway (no tire chains or studs) Model S in drag race against snowmobile on ice lake in Norway (no tire chains or studs)
2015-03-15,SolarCity systems generated a new daily record of 4 gigawatt-hours this week
2015-03-16,Some people seem to think I tweet to affect share price. This is false. A brief rise in $TSLA stock obviously does no good for Tesla or me.
2015-03-17,"However, when self-driving cars become safer than human-driven cars, the public may outlaw the latter. Hopefully not. However, when self-driving cars become safer than human-driven cars, the public may outlaw the latter. Hopefully not. To be clear, Tesla is strongly in favor of people being allowed to drive their cars and always will be. Hopefully, that is obvious. Battery pack swap is active between SF and LA and seems to be working well. Supercharging is the future, though, for non-commercial traffic."
2015-03-18,Thanks to everyone that supported Tesla in New Jersey! We couldn't have done it without you.
2015-03-21,Another Easter Egg will be hidden in the Model S code in 2015. Last one took a year to find. Next one should be easier.
2015-03-30,"Major new Tesla product line -- not a car -- will be unveiled at our Hawthorne Design Studio on Thurs 8pm, April 30"
2015-04-01,Announcing the amazing Tesla Model W
2015-04-06,"Battery ""breakthroughs"" need to state power *and* energy density (not the same thing), plus how long they last. They usually fail on energy. Battery ""breakthroughs"" need to state power *and* energy density (not the same thing), plus how long they last. They usually fail on energy."
2015-04-09,Testing of the high performance version of the Tesla Model S by
2015-04-11,"Just announced new Tesla 70D all-wheel drive, 240 mile range car for ~$55k (after gas savings &amp; incentives)"
2015-04-23,"New Roadster battery should complete safety validation by end of July, so likely available in August"
2015-05-01,"For more info on Tesla Energy, check out press kit. $250/kWh for utility scale is the real kicker"
2015-05-02,Last night's Tesla Powerwall and Powerpack unveiling
2015-05-04,Very funny post of a Tesla owner test driving a gasoline car
2015-05-19,"This is not the full Gigafactory, it is just the pilot plant (1/4 size)"
2015-06-15,SpaceX/Tesla will also do a reference pod to be shown after the competition. Bonus for all racing teams that exceed reference.
2015-06-19,Tesla service team helps save a stray kitten that took refuge in a Model S. Nice work guys!
2015-06-23,Important to note that Model S resale value is also higher than that of gasoline cars
2015-07-17,Model S product call at 11 today. Rocket discussion at noon on Monday. Model S product call at 11 today. Rocket discussion at noon on Monday.
2015-07-18,"Ludicrous speed, 70 kWh rear drive and 90 kWh battery pack"
2015-08-06,Tesla Snakebot autocharger prototype. Does seem kinda wrong :)
2015-09-02,"First production cars will be handed over on Sept 29 at our Fremont factory Model 3, our smaller and lower cost sedan will start production in about 2 years. Fully operational Gigafactory needed. With same options, Model X is $5k more than an S due to greater size &amp; body complexity. Sig Series is fully loaded, hence high price."
2015-09-27,Great discussion about solar/batteries empowering rural communities
2015-09-29,Model X launch webcast live today 8pm at Time to show the real thing.
2015-09-30,"Btw, price of Model X is actually only $5k more than S. Lower cost versions coming later."
2015-10-02,"Model X Bioweapon Defense Mode definitely filters viruses btw, even the small ones. Has hospital operating room level filtering."
2015-10-09,"Yo, I don't hate Apple. It's a great company with a lot of talented people. I love their products and I'm glad they're doing an EV."
2015-10-10,Tesla P85D (assembled in Tilburg) beats 650 hp MacLaren from 0 to 150km/h in Dutch magazine test
2015-10-11,Some exciting news this week: Tesla Version 7 software with Autopilot goes to wide release on Thursday! Non-autopilot will have a new interface too. More comprehensive UI update coming with 7.1. Some exciting news this week: Tesla Version 7 software with Autopilot goes to wide release on Thursday!
2015-10-15,Review of Model S by
2015-10-19,Autopilot release to Europe and Asia pending regulatory approval. Hopefully get the ok in the next few weeks. Autopilot release to Europe and Asia pending regulatory approval. Hopefully get the ok in the next few weeks.
2015-10-21,"Tesla gets top rating of any company in service. Most important, CR says 97% of owners expect their next car to be a Tesla (the acid test). Consumer Reports reliability survey includes a lot of early production cars. Already addressed in new cars. Congrats on driving a Tesla from LA to NY in just over two days!"
2015-10-23,"important to set AC to not recirc (air exits thru rear) and use the snap in shade, which Tesla service can provide Autopilot 1.01 coming soon: curve speed adaption, controller smoothness, better lane holding on poor roads, improved fleet learning! Regulatory approvals received, so Autopilot rolling out to all countries! (Excluding Japan, which is still under review)"
2015-10-25,"Yes, establishing charging and service infrastructure in Mexico now. Official launch in next several months. Auto import duties are prohibitively high. Hoping for a special category for EVs. Most of our discussion was about batteries. Model 3 is due in ~2 yrs. A China factory for local demand cd be as soon as a year after. A factory in Europe wd happen for same reason. My comments in China weren't transcribed correctly. Tesla will keep making cars &amp; batteries in CA &amp; NV as far into future as I can imagine. Given high local demand, a Gigafactory in India would probably make sense in the long term."
2015-10-27,"Compliment from Jeffrey is much appreciated, but the people of Tesla deserve all the credit"
2015-10-29,Model S Ludicrous Mode achieves 2.6 sec 0-60 mph and 10.9 sec 1/4 mile in Motor Trend test
2015-11-04,Current production is LTE. Can be upgraded by service. Current production is LTE. Can be upgraded by service.
2015-11-20,"Should mention that I will be interviewing people personally and Autopilot reports directly to me. This is a super high priority. Ramping up the Autopilot software team at Tesla to achieve generalized full autonomy. If interested, contact autopilot.com."
2015-12-17,Vance article on self-driving cars was inaccurate
2015-12-19,This article does not appreciate that Tesla is in California despite taxes net of rebates being higher. Incentives only a partial offset.
2016-01-10,First baby step in Tesla Summon capability now downloading over-the-air with V7.1
2016-02-10,Should mention that Tesla Motors itself had nothing to do with the short movie. This was completely independent. Love this Tesla video made by
2016-02-11,More details on Model 3 unveil in coming weeks. That's it for now. More details on Model 3 unveil in coming weeks. That's it for now. No signature series for Model 3. Same reservation amount for all. Model 3 reservations ($1000 down) will be accepted in Tesla stores on March 31 and online April 1
2016-02-16,"yes, this was done jointly with Tesla and Radio Flyer This baby Model S really is quite fun"
2016-03-06,"SpaceX &amp; Tesla comp is same or better than other companies. Big diff is that we don't outsource manufacturing, retail sales or service. SpaceX and Tesla rated most meaningful work in high tech. Also, most stressful, but that goes with the territory."
2016-03-20,Tesla charger map
2016-03-29,Looks like we may need to increase production plans for the Model 3 Looks like we may need to increase production plans for the Model 3
2016-03-30,"Tomorrow is Part 1 of the Model 3 unveil. Part 2, which takes things to another level, will be closer to production. Model 3 order day starting in Australia Tomorrow is Part 1 of the Model 3 unveil. Part 2, which takes things to another level, will be closer to production."
2016-03-31,"Adding several more countries to Model 3 order page tonight. Check for details, but will include India, Brazil, SA, SK, NZ, Sing &amp; Ireland. Model 3 orders, whether in store or online, are limited to two per person Incredibly inspired by the interest in Model 3. You won't be disappointed. Also, small token of appreciation coming for those who lined up. Model 3 unveil will be webcast live at 8:30pm California time at"
2016-04-01,"Giga is designed to self-power via solar panels (primarily), wind &amp; geo, using its own batteries to store electricity at night. Hi Alyssa, thanks for placing your faith in Tesla. I hope you have a great experience with the car. Definitely going to need to rethink production planning... Will include India-wide Supercharger network Giga is designed to self-power via solar panels (primarily), wind &amp; geo, using its own batteries to store electricity at night. Hi Alyssa, thanks for placing your faith in Tesla. I hope you have a great experience with the car. Definitely going to need to rethink production planning... Thought it would slow way down today, but Model 3 order count is now at 198k. Recommend ordering soon, as the wait time is growing rapidly. Model 3 orders at 180,000 in 24 hours. Selling price w avg option mix prob $42k, so ~$7.5B in a day. Future of electric cars looking bright! Will include India-wide Supercharger network Hardware in all cars. Autopilot safety features standard. Convenience features optional (like S and X). Thanks for tuning in to the Model 3 unveil Part 1! Part 2 is super next level, but that's for later…"
2016-04-02,"Maybe 1/4 to 1/2 of what happened. No one at Tesla thought it would be this high before part 2 of the unveil. We are working on an exact date, but Tesla will be in India before 3 production starts. Roadster, S and X customers are the ones who got us here and are paying for 3. They deserve a lot of credit. Maybe 1/4 to 1/2 of what happened. No one at Tesla thought it would be this high before part 2 of the unveil."
